Country,Status,Price,Percentage Deviation
Germany,Certified,70264.92789115646,36.288950797844564
Germany,New,76800.62509642582,24.834968188041742
Germany,Used,45332.579430159836,21.5906267775785
Italy,Certified,274244.0487804878,431.935843280781
Italy,New,99656.9397810219,61.98658398498411
Italy,Used,100625.1409774436,169.8958258018195
Japan,Certified,36640.22617534943,-28.93100253131269
Japan,New,47186.914219729464,-23.3004037647355
Japan,Used,29167.79519139513,-21.766408538353286
South Korea,Certified,33056.86353944563,-35.881450623026936
South Korea,New,43632.385235920854,-29.078084767463054
South Korea,Used,28225.195215719777,-24.294641506421392
Sweden,Certified,41151.94059405941,-20.179882408084314
Sweden,New,61690.09061488673,0.2736695145101515
Sweden,Used,29746.192604006163,-20.21503632856643
UK,Certified,224426.39393939395,335.30732442683393
UK,New,121875.05594059406,98.10084504075104
UK,Used,61376.188129899216,64.62264617945007
USA,Certified,49747.166936135814,-3.508202592996574
USA,New,62590.04247266611,1.7364891386421717
USA,Used,36691.57387125614,-1.5861986998755966
